First Index,Second Index,Similarity
4877,13316,0.8936095237731934
3651,15613,0.7051668167114258
4746,11626,0.8685480356216431
1706,17727,0.7933217287063599
8050,10105,0.8307268023490906
4203,12706,0.7870561480522156
671,16519,0.790540337562561
4106,12916,0.8790695667266846
4996,9784,0.8541375994682312
7919,15793,0.8174175024032593
6080,13452,0.8570088148117065
4043,11584,0.7396352887153625
3542,17226,0.7778672575950623
2391,10516,0.815973162651062
3667,15232,0.8171955347061157
7525,12727,0.8801527619361877
407,11214,0.8319228887557983
6094,11446,0.884708046913147
6482,16770,0.707059919834137
3464,16330,0.8568160533905029
1904,11322,0.7905746698379517
5967,14557,0.822180449962616
3660,11441,0.7668843269348145
9057,17010,0.7206235527992249
1183,16683,0.8833061456680298
40,18479,0.7123662233352661
4241,17886,0.8843547105789185
708,14944,0.8176398873329163
1723,13339,0.8270372748374939
9110,9972,0.8256537318229675
4077,18097,0.6914787292480469
4700,14066,0.6134693026542664
3691,13786,0.8150506019592285
3589,12498,0.8115947842597961
3289,12235,0.8822082281112671
1510,16893,0.6451721787452698
768,16137,0.8610105514526367
7453,10894,0.8793959617614746
4174,19052,0.9380983114242554
6437,13624,0.8853708505630493
4511,17880,0.8447842001914978
7429,10084,0.8274099826812744
1239,13995,0.8048686385154724
3078,16459,0.8137357831001282
1805,19022,0.8332000970840454
5831,19000,0.8310555219650269
511,14940,0.8363505005836487
6648,16981,0.8243230581283569
2960,12144,0.7806828022003174
9489,16918,0.8630515336990356
3905,18334,0.8857603073120117
8614,13993,0.858258068561554
6821,15593,0.8211009502410889
4503,16237,0.8016754388809204
1416,12399,0.7497428059577942
2746,13408,0.8291323184967041
2819,10801,0.8030955791473389
8168,16433,0.7903359532356262
1288,10774,0.8621983528137207
6707,17073,0.81706303358078
434,16965,0.8327314257621765
2048,18338,0.79432612657547
1867,18438,0.8020216822624207
3952,16107,0.7312983274459839
925,11988,0.7876049280166626
3002,12147,0.7297676801681519
3268,16400,0.860630989074707
6393,17336,0.820944607257843
4818,11237,0.8279318809509277
2987,14895,0.8959380984306335
4607,14956,0.7621221542358398
8759,18434,0.8272524476051331
623,15361,0.8721051216125488
3577,10279,0.8658649325370789
2830,17246,0.8089715838432312
3615,10161,0.858769953250885
6730,13385,0.8473703861236572
1369,12570,0.7596263885498047
3540,15622,0.7605542540550232
5983,18640,0.7755763530731201
6362,16933,0.7838085889816284
5818,11484,0.8289499878883362
8884,14552,0.7703148126602173
7076,14498,0.7417223453521729
6619,11880,0.778157114982605
3780,11696,0.8160470128059387
8364,13460,0.799270510673523
4535,16312,0.8142101764678955
9378,18223,0.8979086875915527
9237,11875,0.7820466160774231
5519,14765,0.8026512861251831
8358,18160,0.8141719102859497
9520,14917,0.7720997333526611
3833,15828,0.8827915191650391
4385,17732,0.8140771389007568
9503,18394,0.7980309724807739
7953,14420,0.843771755695343
5527,10259,0.8010711669921875
3384,9933,0.7924050092697144
2998,16868,0.8623379468917847
1034,17378,0.8958682417869568
2016,10379,0.758493959903717
5374,12196,0.8013657331466675
2924,9935,0.8425188064575195
5942,11054,0.8171664476394653
9542,13558,0.8374447822570801
7812,14646,0.8278851509094238
1883,15553,0.8534603118896484
8683,16862,0.6851726174354553
3375,10462,0.8142615556716919
3810,11006,0.8105741739273071
2172,11134,0.7851715087890625
9390,10428,0.8466010689735413
617,14651,0.814277172088623
2983,16188,0.8197827339172363
154,18621,0.8440968990325928
2551,17212,0.7586842775344849
2783,17838,0.8654834628105164
8919,16738,0.74394291639328
3723,9968,0.8161305785179138
7772,12533,0.8860279321670532
9468,17688,0.7637407779693604
5501,11675,0.7161000967025757
