Node Index,Similarity
301,0.85973144
302,0.69340104
303,0.809314
304,0.6862412
305,0.8485817
306,0.8670611
307,0.6983945
308,0.74356544
309,0.79373753
310,0.69468
311,0.71500033
312,0.8789713
313,0.70394576
314,0.7208543
315,0.6395555
316,0.90526026
317,0.88175434
318,0.8806765
319,0.8992833
320,0.8648753
321,0.8068828
322,0.80273247
323,0.8690091
324,0.85409904
325,0.85409904
326,0.84217227
327,0.85243946
328,0.79553246
329,0.8858211
330,0.7650068
331,0.939503
332,0.84781945
333,0.7091493
334,0.8338717
335,0.8845552
336,0.8335149
337,0.81613874
338,0.809783
339,0.8161076
340,0.77686405
341,0.8750938
342,0.86299455
343,0.83069074
344,0.8411902
345,0.8853528
346,0.88335556
347,0.81874865
348,0.74694014
349,0.8298875
350,0.7744214
351,0.79548633
352,0.75400865
353,0.8221497
354,0.82448816
355,0.8566726
356,0.8579513
357,0.84265435
358,0.8607898
359,0.7972418
360,0.81731105
361,0.85359275
362,0.80529994
363,0.79665184
364,0.848336
365,0.8406132
366,0.8222112
367,0.7871944
368,0.7541864
369,0.65932244
370,0.774825
371,0.8368411
372,0.786495
373,0.79076684
374,0.8985281
375,0.8307084
376,0.8482137
377,0.856479
378,0.7477119
379,0.89820385
380,0.8631319
381,0.8676497
382,0.8755902
383,0.8335788
384,0.87344944
385,0.9019051
386,0.7381339
387,0.7590217
388,0.8977748
389,0.78920573
390,0.69154143
391,0.8714488
392,0.8123431
393,0.6896229
394,0.8425317
395,0.89026475
396,0.89258796
397,0.8452296
398,0.8564656
399,0.75450873
400,0.8307482
401,0.7960427
402,0.72859293
403,0.89432037
404,0.8131263
405,0.855079
406,0.80888414
407,0.80888414
408,0.7704051
409,0.87034345
410,0.8499714
411,0.8169353
412,0.8829305
413,0.85732067
414,0.8133879
415,0.7770039
416,0.7276456
417,0.7641936
418,0.86298144
419,0.80637217
420,0.88626003
421,0.77408326
422,0.77743113
423,0.7903613
424,0.82358766
425,0.7500418
426,0.83914125
427,0.7479218
428,0.8257378
429,0.83852553
430,0.6817728
431,0.8563446
432,0.8562571
433,0.9156046
434,0.8260976
435,0.90176845
436,0.86313725
437,0.8890804
438,0.83277047
439,0.7654245
440,0.86781526
441,0.85810375
442,0.853401
443,0.87285084
444,0.84350944
445,0.858648
446,0.8434357
447,0.852929
448,0.85724294
449,0.8697181
450,0.8780254
451,0.8701254
452,0.87707794
453,0.8381927
454,0.74149716
455,0.70290893
456,0.8005116
